date,index_close,index_volume,index_amount,index_turnover
2023-09-13,3736.6513,8157690100,138238089912.5,0
2023-09-14,3733.5077,10038607500,151578100463.9,0
2023-09-15,3708.7766,10939568900,180398970938.3,0
2023-09-18,3727.711,8672774100,156966973910.5,0
2023-09-19,3720.5021,8319903800,135216895229.4,0
2023-09-20,3705.6898,7544820900,117691805957.0,0
2023-09-21,3672.4448,8303100500,135011796555.2,0
2023-09-22,3738.9327,11023116600,192236467362.8,0
2023-09-25,3714.6037,9259647900,155793827361.5,0
2023-09-26,3692.8928,7804452500,137808437774.8,0
2023-09-27,3700.495,9162921000,164790435265.8,0
2023-09-28,3689.5172,8522171900,153500421344.0,0
2023-10-09,3684.7272,10214805800,178072374748.1,0
2023-10-10,3657.1259,9916373000,161938958924.8,0
2023-10-11,3667.5483,10209158700,187667554127.0,0
2023-10-12,3702.3824,11436322500,194598219817.3,0
2023-10-13,3663.4104,9828798700,170152309003.0,0
2023-10-16,3626.5972,9185311800,159537973598.4,0
2023-10-17,3639.4018,9074518800,147056233347.4,0
2023-10-18,3610.5767,9454587900,158982356667.4,0
2023-10-19,3533.5445,11173752000,189194781843.9,0
2023-10-20,3510.5889,9851860500,169591289145.3,0
2023-10-23,3474.2438,9656165200,152054894179.0,0
2023-10-24,3487.1302,11554728900,186529203442.0,0
2023-10-25,3504.4576,12800961700,203691741119.2,0
2023-10-26,3514.1448,10514356600,176088467225.8,0
2023-10-27,3562.3851,12022510800,224301960437.0,0
2023-10-30,3583.7718,14401042600,242973328094.4,0
2023-10-31,3572.5056,11258726700,196317658324.1,0
2023-11-01,3571.0268,9764553800,182943566435.3,0
2023-11-02,3554.1889,9035964300,149465055433.9,0
2023-11-03,3584.1364,9754210100,165865989200.0,0
2023-11-06,3632.6084,15298246300,254465948110.4,0
2023-11-07,3619.7593,11028859100,190433605311.0,0
2023-11-08,3611.0723,11059423000,192594372352.5,0
2023-11-09,3612.8263,11187205700,189355228591.7,0
2023-11-10,3586.4893,10210703400,166924677328.0,0
2023-11-13,3579.4141,9670764900,164821249625.0,0
2023-11-14,3582.0584,10088415800,165935163426.0,0
2023-11-15,3607.2454,10492921800,188932150501.0,0
2023-11-16,3572.3641,8746478000,146629217157.8,0
2023-11-17,3568.0685,8731920700,139621898705.2,0
2023-11-20,3576.3233,9108044500,157449634694.0,0
2023-11-21,3581.0674,10859431400,175922105929.9,0
2023-11-22,3544.4162,8478438100,136041195538.9,0
2023-11-23,3561.5204,8480016700,141499811491.0,0
2023-11-24,3538.0087,8501840300,140101998555.3,0
2023-11-27,3511.9424,9910231400,155975437035.7,0
2023-11-28,3518.5232,8933578900,147740535862.4,0
2023-11-29,3488.3073,9884141200,155948235975.9,0
2023-11-30,3496.2028,10135082000,153790180653.3,0
2023-12-01,3482.8813,10853094100,176078323469.4,0
2023-12-04,3460.138,9715682600,164664395292.9,0
2023-12-05,3394.2571,10047200700,164840691112.1,0
2023-12-06,3399.598,10580551900,172142987724.9,0
2023-12-07,3391.2823,9771324800,160949948197.3,0
2023-12-08,3399.4618,12952205400,203034222561.1,0
2023-12-11,3419.4548,13962624900,219761181423.1,0
2023-12-12,3426.803,10559001300,166979964779.7,0
2023-12-13,3369.605,9528536700,165455928375.6,0
2023-12-14,3351.9639,8365513500,150245775736.4,0
2023-12-15,3341.5517,9778778300,164907019372.1,0
2023-12-18,3329.3657,9052682600,142303319418.9,0
2023-12-19,3334.0412,8380811800,135293655396.1,0
2023-12-20,3297.5022,9241286800,141290542802.3,0
2023-12-21,3330.8698,10254619800,171120780579.5,0
2023-12-22,3337.2281,10522013300,167336342309.2,0
2023-12-25,3347.4508,7454269300,121838327071.1,0
2023-12-26,3324.7902,7473293500,121689997434.6,0
2023-12-27,3336.3572,9440392800,140924923674.8,0
2023-12-28,3414.5403,14806485100,245855634464.3,0
2023-12-29,3431.1099,11492893200,193573180515.1,0
2024-01-02,3386.3522,11618072600,184096097448.7,0
2024-01-03,3378.2971,10561385100,165099018642.5,0
2024-01-04,3347.0519,10672101300,165512262698.6,0
2024-01-05,3329.1114,12640057400,182251664948.1,0
2024-01-08,3286.0564,11742948500,170761644873.4,0
2024-01-09,3292.4994,10933046500,172276323045.2,0
2024-01-10,3277.129,9419936600,159777649838.1,0
2024-01-11,3295.6717,10878973500,180978533555.5,0
2024-01-12,3284.1667,9685355500,156536022291.9,0
2024-01-15,3280.9195,8885153000,144331722430.6,0
2024-01-16,3300.8762,11327666500,175650587488.9,0
2024-01-17,3229.082,10876972800,173516385174.7,0
2024-01-18,3274.7286,17490916800,256784536828.0,0
2024-01-19,3269.7763,11850140800,191261807098.8,0
2024-01-22,3218.9016,14870562800,225510031844.3,0
2024-01-23,3231.9329,12201200000,193791168624.2,0
2024-01-24,3277.1089,15437195400,219036341624.5,0
2024-01-25,3342.9189,19683361400,265521114954.3,0
2024-01-26,3333.8213,18066400500,238144899501.0,0
2024-01-29,3303.9604,18416479500,244698013593.3,0
2024-01-30,3245.0387,14364935000,199592929911.7,0
2024-01-31,3215.3518,15314346900,215333349921.2,0
2024-02-01,3217.7109,14551679200,203815063232.5,0
2024-02-02,3179.6276,17375808900,234495151557.0,0
2024-02-05,3200.4218,20304297000,279713141507.2,0
2024-02-06,3311.6922,20271309900,285042020945.9,0
2024-02-07,3343.6303,21664793300,297997664575.2,0
2024-02-08,3364.9297,18997757800,270239765211.0,0
2024-02-19,3403.8078,18331980000,267674145147.3,0
2024-02-20,3410.8542,14073458100,218459281946.0,0
2024-02-21,3456.8713,18887936200,291823544608.2,0
2024-02-22,3486.6747,14102078400,225098128872.7,0
2024-02-23,3489.7416,14482127300,232926057113.9,0
2024-02-26,3453.3585,15124833100,238951637715.0,0
2024-02-27,3494.7874,13952824600,244488721250.8,0
2024-02-28,3450.2598,18983754800,328300591256.4,0
2024-02-29,3516.0826,15594453200,281971899288.2,0
2024-03-01,3537.8038,16270957000,288575619224.5,0
2024-03-04,3540.8686,16324461300,297719931809.3,0
2024-03-05,3565.5143,16642238900,299895929709.1,0
2024-03-06,3551.0481,14307661300,248294165707.4,0
2024-03-07,3529.7195,14811051000,251839533036.1,0
2024-03-08,3544.9099,12579266400,225379101014.0,0
2024-03-11,3589.2635,14820282500,286418582154.6,0
2024-03-12,3597.4939,18068556000,339997042337.1,0
2024-03-13,3572.361,14459059000,266898756379.8,0
2024-03-14,3562.2229,14096272200,263803609335.2,0
2024-03-15,3569.993,13831604400,243991558366.2,0
2024-03-18,3603.528,16037943800,295314840611.0,0
2024-03-19,3577.6303,14557178600,259553448413.4,0
2024-03-20,3585.3838,12952896600,223752103886.2,0
2024-03-21,3581.0902,13074337700,233162492629.6,0
2024-03-22,3545.0023,13922735800,248850931022.2,0
2024-03-25,3525.7634,13701572400,233747256235.1,0
2024-03-26,3543.7467,12620953500,226730734844.1,0
2024-03-27,3502.7866,12862676300,216404726565.9,0
2024-03-28,3520.9648,14333471700,232530806334.5,0
2024-03-29,3537.4843,12864329000,201749384356.7,0
2024-04-01,3595.6466,16277656100,251637272845.1,0
2024-04-02,3580.6759,14127297200,220207515542.9,0
2024-04-03,3567.8031,13559233100,214222897580.1,0
2024-04-08,3536.4077,15530428300,243249251687.2,0
2024-04-09,3533.4871,12967094200,195893525574.7,0
2024-04-10,3504.7086,12879027400,199754768626.1,0
2024-04-11,3504.2447,12653439500,200293481885.7,0
2024-04-12,3475.8389,12892111600,208566204702.9,0
2024-04-15,3549.0759,18394125000,267472484531.0,0
2024-04-16,3511.1146,17615306500,253315972272.3,0
2024-04-17,3565.403,16846639800,244987812753.2,0
2024-04-18,3569.8018,17857410500,261329927268.4,0
2024-04-19,3541.6619,14728150500,226229520121.3,0
2024-04-22,3530.9045,15057904200,229511183118.0,0
2024-04-23,3506.2249,14311350400,213257232210.7,0
2024-04-24,3521.6219,12173985100,195299919746.2,0
2024-04-25,3530.2813,11518772200,184524622000.7,0
2024-04-26,3584.2686,19721613300,308045062250.7,0
2024-04-29,3623.9124,22272138100,358709708837.6,0
2024-04-30,3604.3943,19129689900,286674161757.8,0
2024-05-06,3657.8767,20801800700,333270472130.0,0
2024-05-07,3659.0076,16483428600,247368347983.1,0
2024-05-08,3630.2233,13003533600,199923460349.8,0
2024-05-09,3664.561,14655901700,232694927940.9,0
2024-05-10,3666.2771,15072053600,233730562074.5,0
2024-05-13,3664.6907,15726745500,249688465072.9,0
2024-05-14,3657.0454,13340649000,214643548213.8,0
2024-05-15,3626.0559,12352276400,191480969435.1,0
2024-05-16,3640.3592,15463050300,240288953464.0,0
2024-05-17,3677.9696,16457041700,247729525192.2,0
2024-05-20,3690.9623,18460942300,279971341520.4,0
2024-05-21,3676.1611,13067828300,196575354877.9,0
2024-05-22,3684.451,15191460500,230839373504.9,0
2024-05-23,3641.7917,14257299000,214205039030.7,0
2024-05-24,3601.4754,12479117700,195344742155.9,0
2024-05-27,3635.7079,13127264400,206143742535.6,0
2024-05-28,3609.1724,12353223800,184381267979.1,0
2024-05-29,3613.5223,11590632100,179072813277.6,0
2024-05-30,3594.3121,12260299500,193069647050.8,0
2024-05-31,3579.9247,11246201900,180707602931.7,0
2024-06-03,3588.7483,14105459100,222756928174.4,0
2024-06-04,3615.6714,12454509600,195790966233.8,0
2024-06-05,3594.7936,11090676600,182639598874.9,0
